Key,Item.Type,Publication.Year,Author,Title,Url,Abstract.Note,,Publisher,Automatic.Tags
KWGXLTX4,thesis,2015,"Tuterangiwhiu, Te Rerekohu",An Investigation of Optimal Feeding Ration and Effects of Probiotic Bacteria on the Growth of New Zealand Abalone (Haliotis iris),https://hdl.handle.net/10292/9299,,2015,Auckland University of Technology,
TYFKD8BP,thesis,2024,"Mwangudza, Petronilla Masika",Assessment and mitigation of biosecurity risks associated with macroalgae inclusion in farmed abalone diets in South Africa,http://hdl.handle.net/10962/466748,,2024,"Rhodes University ; Faculty of Science, Ichthyology and Fisheries Science",
9UEGJ4XD,thesis,2017,"Liu, Tiange",Development of a mouse model to evaluate the degree of immunological cross-reactivity between prawns and abalone,https://researchonline.jcu.edu.au/53096/1/53096-liu-2017-thesis.pdf,,2017,,
HVBD32N3,thesis,2010,"Tung, Che-Huang","Dietary Protein Requirements of the New Zealand Black-Footed Abalone (Haliotis iris, Martyn 1784)",https://hdl.handle.net/10292/1049,,2010,Auckland University of Technology,
ZK33LGDB,thesis,2025,"Hood, Newton Zachary","Dietary microalgae addition improves abalone gonadotropin releasing hormone synthesis, digestive performance, and temperature tolerance",https://escholarship.org/uc/item/39j5d2z4,,2025,"eScholarship, University of California",
AA35ZCJX,thesis,2015,"Rouchon, Agnes",Effects of metal toxicity on the early life stages of the sea urchin Evechinus chloroticus,https://doi.org/10.26686/wgtn.17013266,,2015,,
54SUTGZL,thesis,2024,"DeSantiago-Amezcua, Ricardo",Human-mediated impacts on spatial subsidies,https://escholarship.org/uc/item/7g99h0tt,,2024,"eScholarship, University of California",
ALIAJ88F,thesis,2019,"Grandiosa, Roffi",Investigation of the Pathophysiology of the New Zealand Black-Footed Abalone (Haliotis iris),https://hdl.handle.net/10292/13037,,2019,Auckland University of Technology,
T5IAIDIE,thesis,2024,"Falade, Abiodun Emmanuel",Optimising Integrated Multitrophic Aquaculture (IMTA) on a South African abalone farm,http://hdl.handle.net/10962/466712,,2024,"Rhodes University ; Faculty of Science, Ichthyology and Fisheries Science",
XPE624YE,thesis,2023,"Rizzo, Natalie",The Impact of Temperature on the Nutritional Composition of Dulse (Devaleraea mollis) and its Influence on Juvenile Red Abalone (Haliotis rufescens),https://escholarship.org/uc/item/72c6h03n,,2023,"eScholarship, University of California",
7PJMZZMG,thesis,2006,"Laas, André",The use of physiological parameters in the management of the South African abalone (Haliotis midae) aquaculture systems in South Africa,http://hdl.handle.net/10394/1145,,2006,North-West University,
K32QK24Q,thesis,1992,"Lleonart, Mark",A gonad conditioning study of the greenlip abalone (Haliotis laevigata),https://doi.org/10.25959/23231642.v1,,1992,,
WTZL9IPH,thesis,2016,"Suleria, Hafiz Ansar Rasul",Bioactive compounds from Australian Blacklip Abalone (Haliotis rubra) processing waste,https://espace.library.uq.edu.au/view/UQ:406669,,2016,"The University of Queensland, School of Medicine",
XN3QBUM5,thesis,1999,"Harris, J. O.","Chronic effects of adverse water quality on the greenlip abalone, Haliotis laevigata Donovan",https://doi.org/10.25959/23247131.v1,,1999,,
6H2JTTAX,thesis,2009,"Argumedo Hernández, Uri",Consumo indiscriminado de diatomeas por juveniles de abulón (haliotis spp. Linne 1740) del NW Mexicano,http://www.repositoriodigital.ipn.mx/handle/123456789/14198,,2009,Instituto Politécnico Nacional. Centro Interdisciplinario de Ciencias Marinas,
PI39H4D7,thesis,2024,"Crimp, James","Effect of macroalgae diet on growth rate and nutrition of the pinto abalone, Haliotis kamtschatkana",https://hdl.handle.net/11122/15494,,2024,,
6T5NPNT6,thesis,2552,"อินทร์นวล, มนตรี","ระดับโปรตีนที่เหมาะสมในอาหารสำเร็จสำหรับเลี้ยงหอยเป๋าฮื้อ Haliotis asinina linnaeus, 1758 ในระบบทดลองทางโภชนาการ ; Optimum protein level of abalone haliotis asinina linnaeus, 1758 ready made diets in nutritional experimental system",http://cuir.car.chula.ac.th/handle/123456789/16592,,,จุฬาลงกรณ์มหาวิทยาลัย,
TFNS5X8Q,thesis,NA,阎希柱,九孔鲍生物能量学的研究 ; A study on the bioenergetics of Haliotis.dlverslcoloraquatilis,http://dspace.xmu.edu.cn/handle/2288/53282,,,,
94D43Q78,thesis,2005,"凌明沛; Ling, Min-Pei",以生物為基礎之整合架構研析水域生態系金屬生物累積及人體健康風險 ; A Biologically-Based Integrated Framework to Assess Metals Bioaccumulation in Aquatic Ecosystems and Human Health Risks,http://ntur.lib.ntu.edu.tw/handle/246246/56134,,2005,,
GX5N6LBK,thesis,NA,涂日炜,皱纹盘鲍对水相和食物相铜和锌的生物累积 ; Bioaccumulation of Haliotis discus hannai to waterborne and dietary copper and zinc,http://dspace.xmu.edu.cn/handle/2288/53107,,,,
9LJ84TSW,thesis,2005,"黃瑞珉; Huang, Jei-Ming","養殖廢污以龍鬚菜充分利用型之循環水系統設計 ; The Design of Aquaculture Waste Reduce for Water Recycling System by Macroalgae, Gracilaria",http://ntur.lib.ntu.edu.tw/handle/246246/56033,,2005,,
2CQ9D7XR,thesis,NA,赵东海,鲍育苗池硅藻的种类多样性及其在鲍早期生长中的作用 ; Studies on the Diatom Species Diversity in Abalone Hatcheries and Its Role in Abalone Early Life,http://dspace.xmu.edu.cn/handle/2288/47078,,,,
6NG3F996,document,2023,"Hindrum, S. M.",Response of blacklip (Haliotis rubra) and greenlip abalone (Haliotis laevigata) to a range of dietary ingredients. Food intake and temporal effects on direct digestibility and consumption. ...,https://dx.doi.org/10.25959/23221646,No description available ...,2023,University Of Tasmania,Marine and estuarine ecology incl. marine ichthyology
PVNEJBLC,thesis,2014,"Rousseau, Le-daan Rheeder","The effects of dietary lipids and antioxidants on growth performance, meat quality and moisture loss of the South African abalone, Haliotis Midae",https://hdl.handle.net/10019.1/86753,,2024,Stellenbosch : Stellenbosch University,
G53WBQRM,thesis,2024,"Lesofe, Ts’olo Ernest",The impact of thermal treatment on comminution performance of blue mussel (Mytilus edulis) and South African abalone (Haliotis midae) shell waste,https://scholar.sun.ac.za/handle/10019.1/131799,,2024,Stellenbosch : Stellenbosch University,
4D29NKU3,thesis,2013,"Gnanalingam, Gayathiri",Using Science and Matauranga to Support Local Management of Blackfoot Paua (Haliotis iris) in the East Otago Taiapure,http://hdl.handle.net/10523/4286,,2013,University of Otago,
BULSGLIS,thesis,2539,"โชคชัยไพศาล, ฐิฏิมา",ระดับและแหล่งของไขมันที่เหมาะสมในอาหารสำเร็จรูป ของหอยเป๋าฮื้อวัยรุ่น Haliotis ovina และHaliotis varia ; Optimal level and source of lipid in artificial diets for juvenile abalone Haliotis ovina and Haliotis varia,http://cuir.car.chula.ac.th/handle/123456789/35094,,,จุฬาลงกรณ์มหาวิทยาลัย,
P7BTWKD9,thesis,2005,"蔡正偉; Tsai, Jeng-Wei",以生物能量及生理為基礎之觀點探討砷毒性對 吳郭魚之毒理動力/動態及作用模態 ; Bioenergetics- and Physiologically-Based Toxicokinetics/Toxicodynamics and Mode of Action of Arsenic Toxicity to Tilapia Oreochromis mossambicus,http://ntur.lib.ntu.edu.tw/handle/246246/56068,,2005,,
KAE5ZBB2,thesis,2004,"陳柏青; Chen, Bo-Ching",水域生態系中魚介類對金屬傳輸與生物攝取之結構與機制 ; Structure and Mechanism of Fish/Shellfish Involved in Transport and Biouptake of Metals in Aquatic Ecosystems,http://ntur.lib.ntu.edu.tw/handle/246246/55992,,2004,,
6TRD7962,thesis,2004,"曾福生; Tseng, Fu-Shen",豬乳鐵蛋白基因轉殖草蝦可行性及基因表現研究 ; Transgenic Tiger Shrimp (Penaeus monodon) by Electroporation with Reporter and Porcine Lactoferrin Gene,http://ntur.lib.ntu.edu.tw/handle/246246/56746,,2004,,
APKC8VHQ,thesis,2547,"วัลลภ อิ่มสุวรรณ, 2523-",อัตราส่วนของพลังงานต่อโปรตีนที่เหมาะสมในอาหารสำเร็จสำหรับหอยเป๋าฮื้อ Haliotis asinina Linnaeus ; Optimal energy to protein ratio of formulated diets for abalone Haliotis asinina Linnaeus,http://cuir.car.chula.ac.th/handle/123456789/4007,,2547,จุฬาลงกรณ์มหาวิทยาลัย,
9QG78RX8,thesis,2007,"周立強; Jou, Li-John",以亞洲蜆為基礎之動態生物感測器即時監測水域金屬 ; Asiatic clam (Corbicula fluminea)–based dynamic biosensor for real-time in situ monitoring waterborne metals,http://ntur.lib.ntu.edu.tw/handle/246246/55953,,2007,,
Y22IJMCJ,thesis,2004,"黃鳳美; Huang, Feng-Mei",食用烏腳病地區魚貝類對人體物種砷暴露之風險評估 ; Risk Assessment of human arsenic species exposure through consumption of farmed fish/bivalves in blackfoot disease area,http://ntur.lib.ntu.edu.tw/handle/246246/56069,,2004,,
R2MD8MGC,thesis,1998,"Taylor, Barbara Elan","Protein utilization, hormone treatment and nutrient metabolism as they apply to culture of abalone Haliotis kamtschatkana",http://hdl.handle.net/2429/8611,,1998,,
NHCE36DA,thesis,2014,"Kyle, Rory James","The abundance, diet and ecology of Astrostole Scabra within the East Otago Taiapure. Implications for the management of Haliotis iris populations",http://hdl.handle.net/10523/5095,,2014,University of Otago,
6B6EMXCE,thesis,2013,"McCowan, Thomas Allister","Genetic approaches to management of New Zealand’s blackfoot pāua, Haliotis iris",http://hdl.handle.net/10523/4138,,2013,University of Otago,
PJNWQF3V,thesis,2023,"Van Schalkwyk, Mighael",Hydrolysed insect proteins as fish meal alternatives in the diets of South African abalone (Haliotis midae),https://scholar.sun.ac.za/handle/10019.1/128989,,2023,Stellenbosch : Stellenbosch University,
245XF9T6,thesis,2017,"Greenwell, Claire",Octopus as predators of Haliotis laevigata on an abalone sea ranch of south-western Australia,https://researchrepository.murdoch.edu.au/id/eprint/40198/,,2017,,
RKFVYRLM,thesis,2024,"Smith, Jennifer Elizabeth","Prey choice and consumption of range-extending, barren-forming sea urchins by the southern rock lobster in Tasmania, Australia",https://doi.org/10.25959/29084255.v1,,2024,,
2F3A5RWC,thesis,1998,"Picos García, Cecilia","Proteasas digestivas de juveniles de abulón azul Haliotis fulgens (Philippi, 1845)",http://www.repositoriodigital.ipn.mx/handle/123456789/15024,,1998,Instituto Politécnico Nacional. Centro Interdisciplinario de Ciencias Marinas,
9G4KWTX4,thesis,2001,"Kemp, Robert Charles",The effect of diet on intestinal structure and function in the abalone (Haliotis laevegata) / Robert Kemp.,http://hdl.handle.net/2440/22275,,2001,,
